seconds,mmh
0,7.8
60,8.352
120,8.97
180,9.648
240,10.41
300,11.268
360,12.228
420,13.314
480,14.556
540,15.972
600,17.598
660,19.488
720,21.69
780,24.282
840,27.366
900,31.062
960,35.556
1020,41.088
1080,48
1140,56.796
1200,68.226
1260,83.442
1320,104.328
1380,134.082
1440,178.506
1500,165.54
1560,153.93
1620,143.496
1680,134.082
1740,125.556
1800,117.816
1860,110.766
1920,104.328
1980,98.43
2040,93.018
2100,88.038
2160,83.442
2220,79.2
2280,75.264
2340,71.616
2400,68.226
2460,65.07
2520,62.124
2580,59.37
2640,56.796
2700,54.39
2760,52.128
2820,50.004
2880,48
2940,46.122
3000,44.346
3060,42.672
3120,41.088
3180,39.594
3240,38.178
3300,36.834
3360,35.556
3420,34.35
3480,33.198
3540,32.106
3600,31.062
3660,30.072
3720,29.13
3780,28.224
3840,27.366
3900,26.544
3960,25.758
4020,25.002
4080,24.282
4140,23.592
4200,22.932
4260,22.296
4320,21.69
4380,21.108
4440,20.544
4500,20.004
4560,19.488
4620,18.99
4680,18.504
4740,18.042
4800,17.598
4860,17.172
4920,16.752
4980,16.356
5040,15.972
5100,15.6
5160,15.24
5220,14.892
5280,14.556
5340,14.232
5400,13.914
5460,13.614
5520,13.314
5580,13.032
5640,12.756
5700,12.486
5760,12.228
5820,11.976
5880,11.736
5940,11.496
6000,11.268
6060,11.046
6120,10.83
6180,10.614
6240,10.41
6300,10.212
6360,10.02
6420,9.834
6480,9.648
6540,9.474
6600,9.3
6660,9.132
6720,8.97
6780,8.808
6840,8.652
6900,8.502
6960,8.352
7020,8.208
7080,8.07
7140,7.932
7200,7.8
7260,0
360000,0
